County,Total_Subsidies,Pct_Total,Running_Pct
"Box Elder County, Utah","$6,684,369",14.7%,14.7%
"Millard County, Utah","$3,601,149",7.9%,22.6%
"Sanpete County, Utah","$3,373,699",7.4%,30.0%
"Iron County, Utah","$2,604,650",5.7%,35.7%
"Juab County, Utah","$2,602,906",5.7%,41.4%
"Cache County, Utah","$2,378,245",5.2%,46.6%
"Emery County, Utah","$2,050,842",4.5%,51.1%
"Beaver County, Utah","$1,886,743",4.1%,55.2%
"Washington County, Utah","$1,834,686",4.0%,59.3%
"Uintah County, Utah","$1,683,769",3.7%,63.0%
"Wayne County, Utah","$1,659,398",3.6%,66.6%
"San Juan County, Utah","$1,517,887",3.3%,69.9%
"Sevier County, Utah","$1,499,076",3.3%,73.2%
"Duchesne County, Utah","$1,488,119",3.3%,76.5%
"Rich County, Utah","$1,421,040",3.1%,79.6%
"Garfield County, Utah","$1,322,662",2.9%,82.5%
"Utah County, Utah","$1,289,847",2.8%,85.3%
"Piute County, Utah","$1,275,968",2.8%,88.1%
"Kane County, Utah","$1,179,367",2.6%,90.7%
"Summit County, Utah","$1,078,405",2.4%,93.1%
"Carbon County, Utah","$841,233",1.8%,94.9%
"Tooele County, Utah","$574,825",1.3%,96.2%
"Weber County, Utah","$531,625",1.2%,97.3%
"Morgan County, Utah","$379,281",0.8%,98.2%
"Wasatch County, Utah","$260,012",0.6%,98.7%
"Daggett County, Utah","$195,712",0.4%,99.2%
"Salt Lake County, Utah","$133,504",0.3%,99.5%
"Grand County, Utah","$125,594",0.3%,99.7%
"Davis County, Utah","$115,544",0.3%,100.0%
"Campbell County, Wyoming","$10,970,576",13.2%,13.2%
"Crook County, Wyoming","$7,330,893",8.8%,21.9%
"Johnson County, Wyoming","$6,625,464",7.9%,29.9%
"Converse County, Wyoming","$6,097,889",7.3%,37.2%
"Natrona County, Wyoming","$5,894,848",7.1%,44.3%
"Weston County, Wyoming","$5,122,142",6.1%,50.4%
"Fremont County, Wyoming","$4,726,043",5.7%,56.1%
"Niobrara County, Wyoming","$4,369,806",5.2%,61.3%
"Sheridan County, Wyoming","$4,251,600",5.1%,66.4%
"Carbon County, Wyoming","$3,688,443",4.4%,70.8%
"Goshen County, Wyoming","$2,914,790",3.5%,74.3%
"Sublette County, Wyoming","$2,821,342",3.4%,77.7%
"Lincoln County, Wyoming","$2,678,105",3.2%,80.9%
